
Epoch,Train_Loss,Val_Loss
1,-12.14444319498502,-12.26413637494284
2,-12.324879849352191,-12.410063758728997
3,-12.321628031672716,-12.251192002069383
4,-12.28672422925899,-12.347955870249915
5,-12.341531458579565,-12.38970388684954
6,-12.24741938418491,-12.588844420417907
7,-12.313446952641767,-12.34695047045511
8,-12.402332966314882,-12.641239438738141
9,-12.38426354828379,-12.368025840274871
10,-12.29460399463559,-12.284989402407692
11,-12.380348281572696,-12.293477497403584
12,-12.39784000164662,-12.310888638572088
13,-12.390732556626087,-12.17724683549669
14,-12.337235143926824,-12.419686741299099
15,-12.42613070281268,-12.22041800665477
16,-12.283072203761863,-11.983577864510673
17,-12.358192110773793,-12.400019040183416
18,-12.38385550441394,-12.207410857790993
19,-12.32825485024652,-12.614023178342789
20,-12.402437474113503,-12.30913039616176
21,-12.374306348238695,-12.216914192078606
22,-12.407053894716983,-12.266593191358778
23,-12.535316524655624,-12.590377989269438
24,-12.408634493863199,-12.661736034211659
25,-12.408300931449283,-12.361742988465325
26,-12.298258411941127,-12.252058135138618
27,-12.371318871124222,-12.35211219484844
