Epoch,Train_Loss,Val_Loss
1,-11.777669636227525,-11.71605438656277
2,-11.862243557273796,-11.953785593547519
3,-11.86029580367926,-12.22676604134696
4,-11.948898538814271,-11.941962166438026
5,-11.949326306633928,-12.157759893508185
6,-11.96677876344501,-12.122055417015439
7,-11.793477684949831,-12.00146540384444
8,-11.921389336484355,-11.918537911914644
9,-11.908282818421814,-11.962539294409373
10,-11.950769010910873,-12.268652053106399
11,-12.030468379835213,-12.120981186155289
12,-11.902939799624164,-12.413473114134773
13,-11.990001928953296,-11.786041744171627
14,-11.937686886075673,-12.039392592414977
15,-11.935196161481628,-11.96864376370869
16,-11.946880643574811,-12.273054349990119
17,-12.095598888012983,-11.909519059317452
18,-11.970761436974774,-12.28399534074087
19,-12.020632924870876,-11.977130768791078
20,-11.951233536692635,-11.712631331549751
21,-12.10576234087946,-12.238471818348717
22,-11.962499135551933,-11.981470441061353
23,-12.023255510607878,-12.291715394882928
24,-11.983815850202552,-12.3175691422962
25,-11.996888887182143,-12.338157911149283
26,-12.023266051842818,-12.27236606961205
27,-11.880787070014202,-12.02659853677901
28,-11.982747740049941,-12.157607335892935
29,-11.976608730123761,-12.083250454493932
30,-12.075972634773482,-12.017434438069662
