Epoch,Train_wSDR_Loss,Val_wSDR_Loss
1,nan,nan
1,-8.584319592499156,-8.855457015410215
2,-9.720895762834122,-10.032441219490373
3,-10.221707154381258,-10.002222607752126
4,-10.57317777344869,-10.667558662399262
5,-10.786936324842664,-10.908621951430021
6,-10.938481400970321,-11.173088230446488
7,-11.127738678919295,-11.446902242595543
8,-11.2836558010025,-11.434591497830255
9,-11.376537455569128,-11.577042270996767
10,-11.471727892013734,-11.478768424185102
11,-11.55411188378879,-11.626785333744271
11,-11.592679159925677,-11.539692060741967
12,-11.63716176664935,-11.667021779115787
13,-11.737436584902941,-11.726694693785154
14,-11.7800918730135,-11.809316910340456
15,-11.785220295005182,-11.911209753376687
16,-11.898342057000132,-11.895035357656843
17,-11.902119333279792,-11.908658111740449
18,-11.960009521846166,-11.950568534568221
19,-11.969477383290275,-12.145977100532853
20,-12.033301775972648,-12.160020088623902
21,-12.05668707760336,-12.074373304485558
22,-12.09777192527027,-12.119376830443112
23,-12.130736377760433,-12.146883735198058
24,-12.158563271217488,-12.125669583528936
25,-12.369504812858173,-12.362533011274014
26,-12.377140739250994,-12.50147017782819
27,-12.416946422261095,-12.557922349903054
28,-12.453452016340309,-12.34356754241821
29,-12.447554703993271,-12.541467335993397
30,-12.470997071280886,-12.631324028443238
31,-12.511771627898057,-12.509700243840953
